                              0         1  prob_ratio
on thursday            0.001037  0.000968    1.071088
in israel              0.001037  0.000968    1.071088
to attack              0.000510  0.000476    1.070418
billion of             0.000510  0.000476    1.070418
a court                0.000510  0.000476    1.070418
on it                  0.001018  0.000951    1.070342
more than              0.005569  0.005204    1.070141
official say           0.000998  0.000933    1.069568
pay for                0.000490  0.000459    1.068847
a chinese              0.000490  0.000459    1.068847
be able                0.000490  0.000459    1.068847
middle east            0.001467  0.001373    1.068738
by the                 0.005315  0.004975    1.068245
crime against          0.000471  0.000441    1.067150
with a                 0.002815  0.002638    1.067003
trying to              0.001857  0.001742    1.066569
to protect             0.001369  0.001285    1.065817
out to                 0.000451  0.000424    1.065313
on board               0.000451  0.000424    1.065313
claim to               0.000451  0.000424    1.065313
for a                  0.003557  0.003341    1.064658
from the               0.005315  0.004993    1.064485
state and              0.000432  0.000406    1.063316
the body               0.000432  0.000406    1.063316
u military             0.000842  0.000793    1.062143
a decade               0.000412  0.000388    1.061139
between the            0.000412  0.000388    1.061139
of mexico              0.000412  0.000388    1.061139
somali pirate          0.000393  0.000371    1.058756
he had                 0.000393  0.000371    1.058756
month after            0.000393  0.000371    1.058756
with russia            0.000393  0.000371    1.058756
of war                 0.000783  0.000740    1.058631
into the               0.001936  0.001829    1.058047
death of               0.001135  0.001074    1.056859
a a                    0.003752  0.003552    1.056436
to new                 0.000373  0.000353    1.056135
an end                 0.000373  0.000353    1.056135
of life                0.000373  0.000353    1.056135
to set                 0.000373  0.000353    1.056135
than the               0.000744  0.000705    1.055997
to take                0.001428  0.001355    1.053768
u is                   0.000354  0.000336    1.053240
the national           0.000354  0.000336    1.053240
off the                0.001057  0.001003    1.053036
in new                 0.001037  0.000986    1.051995
nuclear power          0.000686  0.000652    1.051515
may have               0.001369  0.001302    1.051434
they have              0.001018  0.000968    1.050917
in it                  0.001018  0.000968    1.050917
to an                  0.000666  0.000634    1.049855
to their               0.000666  0.000634    1.049855
russia to              0.000647  0.000617    1.048101
all of                 0.000627  0.000599    1.046244
is the                 0.002502  0.002392    1.046100
with the               0.003694  0.003534    1.045109
to prevent             0.000900  0.000863    1.043522
on sunday              0.000588  0.000564    1.042182
the nation             0.000588  0.000564    1.042182
million in             0.000588  0.000564    1.042182
on the                 0.008420  0.008086    1.041377
year after             0.000861  0.000828    1.040638
prime minister         0.003986  0.003833    1.040087
a russian              0.000568  0.000547    1.039956
out of                 0.003967  0.003815    1.039758
call on                0.000549  0.000529    1.037581
from a                 0.001643  0.001583    1.037417
the future             0.000529  0.000511    1.035043
a military             0.000529  0.000511    1.035043
charge of              0.000529  0.000511    1.035043
in west                0.000529  0.000511    1.035043
state of               0.001037  0.001003    1.033572
for the                0.007502  0.007260    1.033407
the rest               0.000510  0.000494    1.032325
in greece              0.000510  0.000494    1.032325
a much                 0.000510  0.000494    1.032325
day of                 0.000764  0.000740    1.032231
of people              0.001018  0.000986    1.032184
need to                0.001018  0.000986    1.032184
attempt to             0.001272  0.001232    1.032156
going to               0.000998  0.000968    1.030746
of a                   0.007151  0.006943    1.029852
the year               0.000490  0.000476    1.029406
some of                0.000725  0.000705    1.028281
the street             0.001428  0.001390    1.027124
of europe              0.000471  0.000459    1.026263
the man                0.000471  0.000459    1.026263
of the                 0.024534  0.023937    1.024938
to save                0.000920  0.000898    1.024430
sentenced to           0.001369  0.001337    1.023801
russia and             0.000451  0.000441    1.022870
to launch              0.000451  0.000441    1.022870
the president          0.000451  0.000441    1.022870
the united             0.002697  0.002638    1.022575
of it                  0.002463  0.002409    1.022256
to death               0.002229  0.002181    1.021871
there are              0.000881  0.000863    1.020886
it is                  0.003068  0.003007    1.020489
a senior               0.000432  0.000424    1.019195
israel is              0.000647  0.000634    1.019068
man who                0.000861  0.000845    1.019004
saudi arabia           0.002990  0.002937    1.018312
united state           0.002326  0.002286    1.017458
end of                 0.001057  0.001039    1.017401
the end                0.000842  0.000828    1.017041
in spain               0.000412  0.000406    1.015202
believed to            0.000412  0.000406    1.015202
intelligence agency    0.000607  0.000599    1.013650
foreign minister       0.000803  0.000793    1.012855
at the                 0.003928  0.003886    1.010894
official in            0.000393  0.000388    1.010848
of south               0.000393  0.000388    1.010848
side of                0.000393  0.000388    1.010848
you can                0.000393  0.000388    1.010848
appears to             0.000393  0.000388    1.010848
wa the                 0.000588  0.000582    1.010696
to it                  0.000588  0.000582    1.010696
role in                0.000783  0.000775    1.010620
are being              0.001154  0.001144    1.008994
the case               0.000373  0.000371    1.006081
when it                0.000373  0.000371    1.006081
down a                 0.000373  0.000371    1.006081
version of             0.000373  0.000371    1.006081
a german               0.000373  0.000371    1.006081
deal with              0.000744  0.000740    1.005831
israel to              0.000725  0.000722    1.003262
police in              0.000725  0.000722    1.003262
plan to                0.003205  0.003200    1.001569
a national             0.000354  0.000353    1.000840
kind of                0.000354  0.000353    1.000840
continue to            0.000354  0.000353    1.000840
leader in              0.000354  0.000353    1.000840
to cover               0.000354  0.000353    1.000840
ambassador to          0.000354  0.000353    1.000840
in germany             0.001213  0.001214    0.998840
now the                0.000510  0.000511    0.996850
a report               0.000510  0.000511    0.996850
of being               0.000510  0.000511    0.996850
result of              0.000510  0.000511    0.996850
those who              0.000510  0.000511    0.996850
of one                 0.000334  0.000336    0.995050
over a                 0.000666  0.000670    0.994745
freedom of             0.000666  0.000670    0.994745
julian assange         0.001330  0.001337    0.994591
over the               0.002639  0.002655    0.993741
rest of                0.000490  0.000494    0.992772
aimed at               0.000490  0.000494    0.992772
an american            0.000490  0.000494    0.992772
hundred of             0.002111  0.002128    0.992119
they were              0.001135  0.001144    0.991922
government to          0.000803  0.000810    0.990885
to be                  0.008479  0.008560    0.990499
to bring               0.000471  0.000476    0.988394
the guardian           0.000471  0.000476    0.988394
worse than             0.000471  0.000476    0.988394
crackdown on           0.000471  0.000476    0.988394
russia ha              0.000471  0.000476    0.988394
the second             0.000471  0.000476    0.988394
a it                   0.000783  0.000793    0.988212
attack on              0.002346  0.002374    0.988029
to pay                 0.001389  0.001408    0.986550
tried to               0.000920  0.000933    0.985845
human right            0.003674  0.003727    0.985667
that the               0.003967  0.004026    0.985297
been found             0.000607  0.000617    0.984771
rise in                0.000607  0.000617    0.984771
protest in             0.001057  0.001074    0.984098
seek to                0.000451  0.000459    0.983680
because he             0.000451  0.000459    0.983680
a series               0.000451  0.000459    0.983680
move to                0.000744  0.000757    0.982494
a an                   0.000588  0.000599    0.981057
right group            0.000588  0.000599    0.981057
set to                 0.001311  0.001337    0.979986
in europe              0.001154  0.001179    0.978920
fire in                0.000432  0.000441    0.978590
the u                  0.006311  0.006451    0.978216
u drone                0.000568  0.000582    0.977118
order to               0.000842  0.000863    0.975614
a year                 0.001115  0.001144    0.974849
to stay                0.000412  0.000424    0.973078
the killing            0.000412  0.000424    0.973078
government and         0.000412  0.000424    0.973078
10 year                0.000549  0.000564    0.972934
al jazeera             0.000822  0.000845    0.972790
to have                0.002326  0.002392    0.972603
thousand of            0.002561  0.002638    0.970743
for year               0.000393  0.000406    0.967089
who had                0.000393  0.000406    0.967089
down the               0.000393  0.000406    0.967089
to demand              0.000393  0.000406    0.967089
to die                 0.000393  0.000406    0.967089
european union         0.001037  0.001074    0.965907
the eu                 0.000900  0.000933    0.964914
death penalty          0.000510  0.000529    0.963732
climate change         0.001779  0.001847    0.963380
the government         0.002150  0.002234    0.962773
that ha                0.000881  0.000916    0.962102
can be                 0.000881  0.000916    0.962102
war crime              0.001506  0.001566    0.961743
a u                    0.000998  0.001039    0.960983
effort to              0.000998  0.001039    0.960983
demand for             0.000373  0.000388    0.960557
in dubai               0.000373  0.000388    0.960557
up on                  0.000373  0.000388    0.960557
in an                  0.001740  0.001812    0.960508
their own              0.000861  0.000898    0.959179
by a                   0.001838  0.001917    0.958621
involved in            0.000607  0.000634    0.957492
barack obama           0.000607  0.000634    0.957492
response to            0.000725  0.000757    0.956707
to block               0.000725  0.000757    0.956707
part of                0.002170  0.002269    0.956467
a british              0.000354  0.000371    0.953407
were not               0.000354  0.000371    0.953407
fukushima nuclear      0.000354  0.000371    0.953407
on fire                0.000588  0.000617    0.953107
bid to                 0.000588  0.000617    0.953107
israeli soldier        0.000568  0.000599    0.948464
drug cartel            0.000568  0.000599    0.948464
refuse to              0.001135  0.001197    0.948225
oil company            0.000451  0.000476    0.947381
to protest             0.000783  0.000828    0.946249
after they             0.000334  0.000353    0.945545
the two                0.000334  0.000353    0.945545
a they                 0.000666  0.000705    0.945131
tony blair             0.000666  0.000705    0.945131
north korea            0.005530  0.005854    0.944599
the pirate             0.000549  0.000582    0.943540
report on              0.000549  0.000582    0.943540
air strike             0.000764  0.000810    0.942666
wa found               0.000432  0.000459    0.941096
to avoid               0.000647  0.000687    0.940878
the middle             0.001076  0.001144    0.940704
south korea            0.001721  0.001829    0.940605
killing of             0.000744  0.000793    0.938924
in central             0.000529  0.000564    0.938310
terror attack          0.000529  0.000564    0.938310
dead in                0.001057  0.001126    0.938040
say he                 0.001154  0.001232    0.937026
the chinese            0.000627  0.000670    0.936402
people have            0.000627  0.000670    0.936402
ready to               0.000939  0.001003    0.936249
to use                 0.000939  0.001003    0.936249
have been              0.004885  0.005221    0.935606
head of                0.001037  0.001109    0.935292
to return              0.000412  0.000441    0.934310
barrier reef           0.000412  0.000441    0.934310
threatened to          0.000412  0.000441    0.934310
to u                   0.000920  0.000986    0.933126
the syrian             0.000510  0.000547    0.932744
series of              0.000510  0.000547    0.932744
a month                0.000510  0.000547    0.932744
edward snowden         0.001018  0.001091    0.932456
the new                0.001018  0.001091    0.932456
the head               0.000607  0.000652    0.931684
through the            0.000607  0.000652    0.931684
on drug                0.000705  0.000757    0.930919
a day                  0.000803  0.000863    0.930342
in his                 0.000900  0.000968    0.929890
in a                   0.007951  0.008560    0.928892
communist party        0.000393  0.000424    0.926960
wa killed              0.000393  0.000424    0.926960
people and             0.000393  0.000424    0.926960
the philippine         0.000393  0.000424    0.926960
bank of                0.000490  0.000529    0.926807
lead to                0.000588  0.000634    0.926705
it to                  0.000588  0.000634    0.926705
in france              0.000783  0.000845    0.926577
jailed for             0.000979  0.001056    0.926500
the same               0.001076  0.001162    0.926472
may be                 0.001467  0.001583    0.926397
the european           0.001350  0.001460    0.924186
the uk                 0.002209  0.002392    0.923606
to israel              0.000764  0.000828    0.922652
n korea                0.000666  0.000722    0.922135
for his                0.000666  0.000722    0.922135
the most               0.001897  0.002058    0.921604
most of                0.000568  0.000617    0.921442
people to              0.000373  0.000406    0.918975
among the              0.000373  0.000406    0.918975
and killed             0.000373  0.000406    0.918975
in court               0.000373  0.000406    0.918975
to turn                0.000373  0.000406    0.918975
she wa                 0.000647  0.000705    0.917415
a woman                0.000647  0.000705    0.917415
have a                 0.000920  0.001003    0.916784
of their               0.001193  0.001302    0.916442
want to                0.002365  0.002585    0.914984
build a                0.000451  0.000494    0.913667
a global               0.000451  0.000494    0.913667
rather than            0.000451  0.000494    0.913667
ha said                0.000900  0.000986    0.913314
call for               0.002971  0.003253    0.913282
at least               0.003147  0.003446    0.913062
to the                 0.009885  0.010845    0.911513
told to                0.000354  0.000388    0.910266
u troop                0.000354  0.000388    0.910266
for war                0.000354  0.000388    0.910266
is going               0.000354  0.000388    0.910266
with his               0.000354  0.000388    0.910266
is one                 0.000354  0.000388    0.910266
the vatican            0.000529  0.000582    0.909962
