                                 0         1  prob_ratio
in a                      0.008556  0.008885    0.963047
their own                 0.000936  0.000972    0.962524
ha said                   0.000936  0.000972    0.962524
tried to                  0.000936  0.000972    0.962524
ruled that                0.000413  0.000429    0.961420
in the west               0.000413  0.000429    0.961420
a it                      0.000824  0.000857    0.961086
a u                       0.001029  0.001071    0.961019
thousand of               0.002673  0.002782    0.960854
the chinese               0.000712  0.000742    0.959202
a former                  0.000506  0.000528    0.958574
an american               0.000506  0.000528    0.958574
to death                  0.002318  0.002420    0.957901
war crime                 0.001608  0.001680    0.957500
israeli soldier           0.000600  0.000627    0.956625
the pirate                0.000600  0.000627    0.956625
killing of                0.000786  0.000824    0.954126
by a                      0.001963  0.002058    0.953909
in france                 0.000880  0.000923    0.953278
the president             0.000487  0.000512    0.952887
of death                  0.000487  0.000512    0.952887
rest of                   0.000487  0.000512    0.952887
in northern               0.000973  0.001022    0.952594
the u                     0.006520  0.006861    0.950323
hundred of                0.002187  0.002305    0.949031
want to                   0.002542  0.002683    0.947470
build a                   0.000469  0.000495    0.946823
used in                   0.000469  0.000495    0.946823
to protest                0.000842  0.000890    0.946544
man who                   0.000842  0.000890    0.946544
in his                    0.000936  0.000989    0.946509
attack in                 0.000936  0.000989    0.946509
to save                   0.000936  0.000989    0.946509
effort to                 0.001029  0.001087    0.946480
they were                 0.001216  0.001285    0.946436
deal with                 0.000824  0.000873    0.942987
the international         0.000730  0.000775    0.942578
bid to                    0.000637  0.000676    0.942050
through the               0.000637  0.000676    0.942050
the uk                    0.002355  0.002502    0.941342
the syrian                0.000544  0.000577    0.941342
the middle                0.001085  0.001153    0.941065
have a                    0.000992  0.001054    0.940585
to return                 0.000450  0.000479    0.940341
the man                   0.000450  0.000479    0.940341
at least                  0.003401  0.003621    0.939402
a the                     0.002318  0.002469    0.938756
the new                   0.001067  0.001137    0.938252
off the                   0.001067  0.001137    0.938252
wa the                    0.000618  0.000660    0.937228
warns of                  0.000618  0.000660    0.937228
the past                  0.001235  0.001318    0.936980
do not                    0.000786  0.000841    0.935455
in iraq                   0.001739  0.001860    0.934649
in europe                 0.001216  0.001301    0.934471
people have               0.000693  0.000742    0.934026
set to                    0.001384  0.001482    0.933802
a long                    0.000431  0.000462    0.933399
people and                0.000431  0.000462    0.933399
year and                  0.000431  0.000462    0.933399
order to                  0.000861  0.000923    0.933039
move to                   0.000768  0.000824    0.931463
president vladimir putin  0.000506  0.000544    0.929614
refusing to               0.000506  0.000544    0.929614
for an                    0.000674  0.000725    0.929459
in prison                 0.001347  0.001449    0.929225
to the                    0.010760  0.011582    0.929020
the eu                    0.000917  0.000989    0.927617
call for                  0.003084  0.003325    0.927561
a they                    0.000749  0.000808    0.927309
a year                    0.001160  0.001252    0.926549
to end                    0.000992  0.001071    0.926137
of israeli                0.000413  0.000446    0.925943
in mexico                 0.001235  0.001334    0.925427
julian assange            0.001309  0.001416    0.924435
islamic state             0.002281  0.002469    0.923627
say it                    0.001870  0.002025    0.923289
who is                    0.000487  0.000528    0.923203
air strike                0.000805  0.000873    0.921604
which is                  0.000562  0.000610    0.921200
part of the               0.000562  0.000610    0.921200
come to                   0.000637  0.000693    0.919674
people in                 0.001347  0.001466    0.918796
to u                      0.001029  0.001120    0.918684
south korea               0.001739  0.001893    0.918408
head of                   0.001104  0.001202    0.917977
al jazeera                0.000861  0.000939    0.916698
coast of                  0.000469  0.000512    0.916378
refused to                0.000469  0.000512    0.916378
united nation             0.001010  0.001104    0.915453
now the                   0.000544  0.000594    0.915266
on drug                   0.000693  0.000758    0.913765
tony blair                0.000693  0.000758    0.913765
north korea               0.005773  0.006318    0.913726
the european              0.001384  0.001515    0.913524
